Complex ID,grouping,wiki
605,Washington Heights--168th Street,https://en.wikipedia.org/wiki/168th_Street_(New_York_City_Subway)
606,Court Square--23rd Street,https://en.wikipedia.org/wiki/Court_Square%E2%80%9323rd_Street_(New_York_City_Subway)
607,34th Street--Herald Square,https://en.wikipedia.org/wiki/34th_Street%E2%80%93Herald_Square_(New_York_City_Subway)
608,Fourth Avenue/Ninth Street,https://en.wikipedia.org/wiki/Fourth_Avenue/Ninth_Street_(New_York_City_Subway)
609,42nd Street--Bryant Park/Fifth Avenue,https://en.wikipedia.org/wiki/42nd_Street%E2%80%93Bryant_Park/Fifth_Avenue_(New_York_City_Subway)
610,Grand Central--42nd Street,https://en.wikipedia.org/wiki/Grand_Central%E2%80%9342nd_Street_(New_York_City_Subway)
611,Times Square--42nd Street/Port Authority Bus Terminal,https://en.wikipedia.org/wiki/Times_Square%E2%80%9342nd_Street/Port_Authority_Bus_Terminal_(New_York_City_Subway)
612,Lexington Avenue/51st Street,https://en.wikipedia.org/wiki/Lexington_Avenue/51st_Street_(New_York_City_Subway)
613,Lexington Avenue/59th Street,https://en.wikipedia.org/wiki/Lexington_Avenue/59th_Street_(New_York_City_Subway)
614,59th Street--Columbus Circle,https://en.wikipedia.org/wiki/59th_Street%E2%80%93Columbus_Circle_(New_York_City_Subway)
615,New Utrecht Avenue/62nd Street,https://en.wikipedia.org/wiki/62nd_Street/New_Utrecht_Avenue_(New_York_City_Subway)
616,Jackson Heights--Roosevelt Avenue/74th Street--Broadway,https://en.wikipedia.org/wiki/Jackson_Heights%E2%80%93Roosevelt_Avenue/74th_Street_(New_York_City_Subway)
617,Atlantic Avenue--Barclays Center,https://en.wikipedia.org/wiki/Atlantic_Avenue%E2%80%93Barclays_Center_(New_York_City_Subway)
618,14th Street/Eighth Avenue,https://en.wikipedia.org/wiki/14th_Street/Eighth_Avenue_(New_York_City_Subway)
619,Broadway--Lafayette Street/Bleecker Street,https://en.wikipedia.org/wiki/Broadway%E2%80%93Lafayette_Street/Bleecker_Street_(New_York_City_Subway)
620,Borough Hall/Court Street,https://en.wikipedia.org/wiki/Borough_Hall/Court_Street_(New_York_City_Subway)
621,Broadway Junction,https://en.wikipedia.org/wiki/Broadway_Junction_(New_York_City_Subway)
622,Brooklyn Bridge--City Hall/Chambers Street,https://en.wikipedia.org/wiki/Brooklyn_Bridge%E2%80%93City_Hall/Chambers_Street_(New_York_City_Subway)
623,Canal Street (BMT Broadway Line / IRT Lexington Avenue Line / BMT Nassau Street Line),https://en.wikipedia.org/wiki/Canal_Street_(New_York_City_Subway)
624,Chambers Street--World Trade Center/Park Place,https://en.wikipedia.org/wiki/Chambers_Street%E2%80%93World_Trade_Center/Park_Place_(New_York_City_Subway)
625,Delancey Street/Essex Street,https://en.wikipedia.org/wiki/Delancey_Street/Essex_Street_(New_York_City_Subway)
626,Franklin Avenue/Botanic Garden,https://en.wikipedia.org/wiki/Franklin_Avenue/Botanic_Garden_(New_York_City_Subway)
627,Franklin Avenue--Fulton Street,https://en.wikipedia.org/wiki/Franklin_Avenue%E2%80%93Fulton_Street_(New_York_City_Subway)
628,Fulton Street (IND Eighth Avenue Line / IRT Broadway--Seventh Avenue Line / IRT Lexington Avenue Line / BMT Nassau Street Line),https://en.wikipedia.org/wiki/Fulton_Street_(New_York_City_Subway)
629,Lorimer Street/Metropolitan Avenue,https://en.wikipedia.org/wiki/Metropolitan_Avenue/Lorimer_Street_(New_York_City_Subway)
630,Myrtle--Wyckoff Avenues,https://en.wikipedia.org/wiki/Myrtle%E2%80%93Wyckoff_Avenues_(New_York_City_Subway)
635,South Ferry/Whitehall Street,https://en.wikipedia.org/wiki/South_Ferry/Whitehall_Street_(New_York_City_Subway)
636,Jay Street--MetroTech,https://en.wikipedia.org/wiki/Jay_Street%E2%80%93MetroTech_(New_York_City_Subway)
,14th Street station (PATH),https://en.wikipedia.org/wiki/14th_Street_station_(PATH)
,23rd Street station (PATH),https://en.wikipedia.org/wiki/23rd_Street_station_(PATH)
,33rd Street station (PATH),https://en.wikipedia.org/wiki/33rd_Street_station_(PATH)
,9th Street station (PATH),https://en.wikipedia.org/wiki/9th_Street_station_(PATH)
,Atlantic (Staten Island Railway),https://en.wikipedia.org/wiki/Atlantic_station_(Staten_Island_Railway)
,Christopher Street station (PATH),https://en.wikipedia.org/wiki/Christopher_Street_station_(PATH)
,Exchange Place station (PATH),https://en.wikipedia.org/wiki/Exchange_Place_station_(PATH)
,Grove Street station (PATH),https://en.wikipedia.org/wiki/Grove_Street_station_(PATH)
,Harrison station (PATH),https://en.wikipedia.org/wiki/Harrison_station_(PATH)
,Hoboken Terminal (PATH),https://en.wikipedia.org/wiki/Hoboken_Terminal
,Journal Square Transportation Center (PATH),https://en.wikipedia.org/wiki/Journal_Square_Transportation_Center
,Manhattan (Roosevelt Island Tramway),
,Nassau (Staten Island Railway),https://en.wikipedia.org/wiki/Nassau_station
,Newark Pennsylvania Station (PATH),https://en.wikipedia.org/wiki/Pennsylvania_Station_(Newark)
,Newport station (PATH),https://en.wikipedia.org/wiki/Newport_station_(PATH)
,Roosevelt Island (Roosevelt Island Tramway),
,World Trade Center station (PATH),https://en.wikipedia.org/wiki/World_Trade_Center_station_(PATH)
